Control_ID;Complément prompt;Prompt exclusion
ACH-01;"ACH-01 évalue si l’entité évaluée gère ses risques cyber sécurité vis à vis de ses propres sous-traitants (Tier-N).

Contexte TPRM :

- L'entité évaluée est : <EVALUATED_ENTITY_NAME>.
- Dans ce document, <EVALUATED_ENTITY_NAME> peut être appelée ""the Provider"", ""the Supplier"", ""the Service Provider"", ""we"", ""our company"", etc.
- Tu dois évaluer comment <EVALUATED_ENTITY_NAME> gère la sécurité de SES PROPRES sous-traitants et fournisseurs (ses third parties à elle).

Important :
- Quand le texte parle des ""customers"" ou ""clients"" de <EVALUATED_ENTITY_NAME>, ce sont les clients, pas l'entité évaluée.
- Quand le texte parle des ""suppliers"", ""subcontractors"", ""third-party providers"" de <EVALUATED_ENTITY_NAME>, ce sont les sous-traitants à considérer pour ACH-01.
- Ne prends PAS en compte les fournisseurs des clients de <EVALUATED_ENTITY_NAME> pour ce contrôle.";
ACH-02;"ACH-02 évalue si l’entité évaluée inclut des clauses de sécurité explicites dans les contrats qu’elle signe avec ses propres sous-traitants (Tier-N).

Contexte TPRM :
- L'entité évaluée est : <EVALUATED_ENTITY_NAME>.
- Dans ce document, <EVALUATED_ENTITY_NAME> peut être appelée ""the Provider"", ""the Supplier"", ""the Service Provider"", ""we"", ""our company"", etc.
- Tu dois évaluer comment <EVALUATED_ENTITY_NAME> gère la sécurité de SES PROPRES sous-traitants et fournisseurs (ses third parties à elle).

Important :
- Quand le texte parle des ""customers"" ou ""clients"" de <EVALUATED_ENTITY_NAME>, ce sont les clients, pas l'entité évaluée.
- Quand le texte parle des ""suppliers"", ""subcontractors"", ""third-party providers"" de <EVALUATED_ENTITY_NAME>, ce sont les sous-traitants à considérer pour ACH-01.
- Ne prends PAS en compte les fournisseurs des clients de <EVALUATED_ENTITY_NAME> pour ce contrôle.";"Ce qui ne compte PAS comme preuve pour ACH-02 :
- Clauses ou obligations figurant dans les contrats entre l’entité évaluée et ses clients.
- Clauses imposées par les clients à l’entité évaluée (ex: “customers may audit us”).
- Exigences contractuelles appliquées par les clients à leurs propres fournisseurs.
- Mentions génériques non actionnables (“security is considered”, “industry standards apply”).
- Mentions non liées à la sécurité contractuelle (SLA, performance, disponibilité, support).
- Mentions liées uniquement à la conformité légale ou GDPR sans clause contractuelle dédiée.
- NDA / confidentialité standard (ne valide pas `security_clauses` ou `right_to_audit`)."
DATA-01;DATA-01 évalue le niveau de chiffrement des communications en transit. Ce contrôle porte uniquement sur les protocoles et mécanismes utilisés pour sécuriser les flux réseau (TLS), y compris la version minimale acceptée, l’activation de la Perfect Forward Secrecy (PFS) et l’application de HTTP Strict Transport Security (HSTS) lorsque le protocole HTTP est utilisé.;"Ce qui ne compte PAS comme preuve pour DATA-01 :
- Mentions de TLS/HSTS/PFS relatives aux clients ou à leurs propres environnements.
- Mentions génériques (“secure connection”, “encrypted endpoints”, “HTTPS is supported”) sans détail technique.
- Mention de chiffrements non liés à TLS (VPN, SFTP, SSH, IPSec…).
- Mention d’options ou capacités (“CDN supports HSTS”, “TLS 1.2 available”) sans preuve d’activation.
- Politiques externes au fournisseur (ex : exigences de sécurité des clients)."
DATA-02;DATA-02 évalue si l’entité évaluée chiffre les données au repos (disques, bases de données, stockages) et dans quel périmètre (toutes les données, production uniquement ou partiel).;Ce qui ne compte PAS comme preuve pour DATA-02 : mentions de chiffrement uniquement en transit (TLS, HTTPS, VPN), chiffrement effectué uniquement côté client et non géré par l’entité évaluée, ou références génériques à la conformité (par exemple GDPR) sans indication explicite que les données au repos sont chiffrées.
DATA-03;"DATA-03 évalue la configuration explicite de SPF, DKIM et DMARC pour les domaines email appartenant à l’entité évaluée.
Le contrôle repose uniquement sur des éléments techniques vérifiables : enregistrements DNS, politiques DMARC, clefs DKIM, paramètres d’alignement et adresses de reporting.
Seules les informations décrivant la configuration du domaine de l’entité évaluée doivent être prises en compte.";"Ce qui ne compte PAS comme preuve pour DATA-03 :
– mentions génériques d’“email security”, “anti-spam”, “secure email gateway”, “phishing protection” ;
– description du filtrage entrant (spam/virus) sans information sur SPF/DKIM/DMARC ;
– mentions de politiques email des clients ou partenaires ;
– configuration email d’un tiers (cloud provider, SaaS mail gateway) si rien n’indique que le domaine de l'entité évaluée l’utilise pour publier SPF/DKIM/DMARC ;
– marketing ou conformité floue (“industry standard email security”) sans paramètres DNS explicites."
ENDP-01;ENDP-01 évalue la protection des postes de travail et serveurs de l’entité évaluée : présence d’un antivirus “seul” ou d’une solution EDR plus avancée, gestion centralisée des protections, et activation d’un pare-feu local sur les endpoints.;"Ce qui ne compte PAS comme preuve pour ENDP-01 :
– mentions génériques de “secure endpoints” ou “endpoint protection” sans indication claire d’antivirus, EDR ou firewall ;
– protections réseau périmétriques (firewall réseau, WAF) qui ne sont pas déployées directement sur les postes ou les serveurs ;
– solutions de MDM ou de gestion de flotte qui ne mentionnent pas explicitement des fonctions de sécurité (antivirus, EDR, firewall) ;
– configurations manuelles décrites pour un sous-ensemble de postes uniquement à des fins de test ;
– protections installées uniquement sur les postes des clients (et non sur les systèmes gérés par l’entité évaluée)."
ENDP-02;ENDP-02 évalue la protection des postes utilisateurs via chiffrement complet du disque (FDE) : activation effective du FDE sur les workstations, périmètre de déploiement (tous les postes ou seulement une partie) et gestion des clés de récupération. Les serveurs ne sont pas couverts par ce contrôle.;"Ce qui ne compte PAS comme preuve :
– mentions de chiffrement réseau ou TLS ;
– chiffrement applicatif ;
– chiffrement sur des serveurs hors périmètre poste de travail ;
– mentions marketing non techniques (“encrypted by design”)."
ENDP-03;ENDP-03 évalue le durcissement (hardening) des systèmes de l’entité évaluée. Il couvre : l’existence d’une baseline de configuration sécurisée, l’utilisation de standards de référence (CIS, baselines éditeur), la restriction des droits administrateur locaux, le contrôle des périphériques (USB, médias amovibles), le contrôle applicatif (allowlisting/denylisting) et le périmètre de couverture (postes utilisateurs, serveurs, ou l’ensemble des systèmes).;"Les éléments suivants ne doivent PAS être considérés comme des preuves pour ENDP-03 :
– les informations relatives au patch management ou à la gestion des vulnérabilités (ENDP-04 / ENDP-05) ;
– les solutions de protection des endpoints (EDR, antivirus, firewall) qui relèvent d’ENDP-01 ;
– les mesures de sécurité réseau ou périmétrique ;
– les déclarations vagues ou marketing de type “nos systèmes sont sécurisés” sans référence explicite à un hardening ;
– les pratiques de configuration appliquées par des clients, partenaires ou fournisseurs cloud (hors périmètre des systèmes de l’entité évaluée)."
GOV-01;GOV-01 évalue l’existence d’une Information Security Policy (ISP), sa revue périodique, l’identification de son propriétaire et son approbation par la direction.;"Ne pas considérer comme preuves :
– les politiques non liées à la sécurité (RH, data privacy, usage acceptable, qualité),
– les procédures ou standards opérationnels sans référence à une ISP,
– les politiques de sécurité fournies par des clients ou tiers,
– les déclarations vagues (“we maintain security policies”) sans document formel."
GOV-02;GOV-02 évalue la désignation d’un responsable de la sécurité (CISO/RSSI ou équivalent), la documentation de ses responsabilités, l’assignation formelle de la responsabilité sécurité et son rattachement hiérarchique vis-à-vis de la direction.;"Ne pas considérer comme preuves :
– les équipes techniques générales sans rôle sécurité formalisé,
– les responsabilités sécurité assignées à des prestataires externes uniquement,
– les descriptions marketing (“we have a security team”),
– les responsabilités implicites ou non formalisées."
