Control_ID;Control_Name;Slot_Key;Slot_Type;Enum_Values;Description_v3 (utilisé dans le Prompt d'extraction)
ACH-01;Suivi sécurité des sous-traitants;critical_suppliers;bool;;"Set to true if the document shows that the evaluated entity maintains an explicit list or register of its own critical / high-risk suppliers and uses it for risk or security follow-up; set to false otherwise."
ACH-01;Suivi sécurité des sous-traitants;providers_list_only;bool;;"Set to true if the document shows that the evaluated entity may only select subcontractors from a pre-approved list of providers (approved / whitelisted vendors); set to false otherwise."
ACH-01;Suivi sécurité des sous-traitants;security_clauses_subcontracts;bool;;"Set to true if the document shows that subcontractor agreements used by the evaluated entity include explicit information-security clauses (requirements, obligations, controls); set to false otherwise."
ACH-01;Suivi sécurité des sous-traitants;tprm_process;bool;;"Set to true if the document shows that the evaluated entity applies a formal, documented third-party risk management (TPRM) process to its own subcontractors (assessment, qualification, periodic review); set to false otherwise."
ACH-02;Clauses sécurité dans les contrats avec les sous-traitants;breach_notification;bool;;"Set to true if the document shows that the evaluated entity requires its own subcontractors to notify it promptly of any security incident or data breach; set to false otherwise."
ACH-02;Clauses sécurité dans les contrats avec les sous-traitants;nda_only;bool;;"Set to true if the document shows that the only security-related contractual protection used by the evaluated entity in its contracts with subcontractors is a basic NDA or confidentiality clause, with no other explicit security clauses, audit rights, or breach-notification requirements; set to false otherwise."
ACH-02;Clauses sécurité dans les contrats avec les sous-traitants;right_to_audit;bool;;"Set to true if the document shows that the evaluated entity contractually reserves the right to audit or assess its own subcontractors (on-site audits, remote assessments, access to security reports); set to false otherwise."
ACH-02;Clauses sécurité dans les contrats avec les sous-traitants;security_clauses;bool;;"Set to true if the document shows that the evaluated entity includes explicit information-security clauses (requirements, controls, obligations) in the contracts it signs with its own subcontractors; set to false otherwise."
DATA-01;Chiffrement en transit (TLS);hsts;bool;;"Set to true if the document shows that the evaluated entity enforces HTTP Strict Transport Security (HSTS) on its external web services (max-age directive, HTTPS-only enforcement); set to false otherwise."
DATA-01;Chiffrement en transit (TLS);pfs;bool;;"Set to true if the document shows that the evaluated entity enforces Perfect Forward Secrecy (PFS) for its TLS connections (e.g., ECDHE or DHE key exchange); set to false otherwise."
DATA-01;Chiffrement en transit (TLS);tls_min_version;enum;1.0 | 1.1 | 1.2 | 1.3 | unknown;Set to the minimum TLS version enforced by the evaluated entity for all in-transit connections (e.g., TLS 1.2 or TLS 1.3). If the minimum version cannot be determined, set to “unknown”.
DATA-02;Chiffrement au repos;algorithms;list[string];;List the encryption algorithms that the document shows are approved and used by the evaluated entity for data-at-rest encryption (for example AES-256). Leave the list empty if no algorithms are explicitly mentioned.
DATA-02;Chiffrement au repos;enc_present;bool;;"Set to true if the document shows that data at rest managed by the evaluated entity is encrypted (for example full-disk, database or storage-level encryption); set to false otherwise."
DATA-02;Chiffrement au repos;key_rotation;bool;;"Set to true if the document shows that cryptographic keys used for data-at-rest encryption are rotated on a regular basis according to a defined policy; set to false otherwise."
DATA-02;Chiffrement au repos;kms;bool;;"Set to true if the document shows that a central Key Management Service (KMS or HSM-based service) is used to manage encryption keys for data at rest; set to false otherwise."
DATA-02;Chiffrement au repos;scope;enum;all_data | prod_only | partial | unknown;Set to the scope of data-at-rest encryption implemented by the evaluated entity: all_data if all relevant data at rest is encrypted, prod_only if only production data is encrypted, partial if only some specific systems or datasets are encrypted, and unknown if the scope cannot be determined from the document.
